class,f1_score,precision,recall,support
  (TIM)-BARREL (ALPHA/BELTA),0.91,1.0,0.83,29.0
 4-HELICAL CYTOKINES (ALPHA),0.88,1.0,0.78,9.0
4-HELICAL UP-AND-DOWN BUNDLE,1.0,1.0,1.0,7.0
ALPHA: EF-HAND (ALPHA),1.0,1.0,1.0,6.0
   BELTA-GRASP (ALPHA+BELTA),1.0,1.0,1.0,7.0
   CONA-LIKE LECTINGS/GLUCANASES (BELTA),1.0,1.0,1.0,7.0
   CUPREDOXINS (BELTA),1.0,1.0,1.0,9.0
  CYTOCHROME C (ALPHA),1.0,1.0,1.0,7.0
     DNA-BINDING 3-HELICALBUNDLE (ALPHA),0.96,1.0,0.92,12.0
   FAD (ALSO NAD) -BINDING MOTIF (ALPHA/BELTA),0.42,0.27,1.0,11.0
     FERREDOXIN-LIKE (ALPHA+BELTA),0.92,1.0,0.85,13.0
     FLAVODOXIN-LIKE (ALPHA/BELTA),0.95,1.0,0.91,11.0
     Globm-like(alpha),1.0,1.0,1.0,13.0
    HYDROLASES (ALPHA/BELTA),1.0,1.0,1.0,11.0
    IMMUNOGLOBULIN-LIKE BELTA-SANDWICH (BELTA),0.86,0.89,0.83,30.0
    LIPOCALINS (BELTA),1.0,1.0,1.0,9.0
    NAD(P)-BINDING ROSSMANN-FOLD (ALPHA/BELTA),0.87,1.0,0.77,13.0
 OB-FOLD (BELTA),0.92,1.0,0.85,13.0
    P-LOOP CONTAINING NUCLEOTIDE (ALPHA/BELTA),0.82,1.0,0.7,10.0
PERIPLASMIC BINDING PROTEIN-LIKE (ALPHA/BELTA),0.95,1.0,0.91,11.0
 RIBONUCLEASE H-LIKE MOTIF (ALPHA/BELTA),1.0,1.0,1.0,10.0
     SH3 LIKE BARREL (BELTA),0.93,1.0,0.88,8.0
"SMALL INHIBITORS TOXINS, LECTINS (ALPHA+BELTA)",1.0,1.0,1.0,13.0
    THIOREDOXIN-LIKE (ALPHA/BELTA),0.8,1.0,0.67,9.0
 TREFOIL (BELTA),1.0,1.0,1.0,8.0
   TRYPSIN-LIKE SERINE PROTEASES (BELTA),0.94,1.0,0.89,9.0
  VIRAL COAT AND CAPSID PROTEINS (BELTA),0.9,1.0,0.81,16.0
