class,f1_score,precision,recall,support
(TIM)-barrel,0.91,1.0,0.83,29.0
4-Helicalcytokines,0.94,1.0,0.89,9.0
    4-Helicalup-and-downbundle,1.0,1.0,1.0,7.0
   ConA-likelectins/glucanases,1.0,1.0,1.0,7.0
 Cupredoxins,1.0,1.0,1.0,9.0
 CytochromeC,0.92,1.0,0.86,7.0
    DNA-binding3-helicalbundle,1.0,1.0,1.0,12.0
     FAD(alsoNAD)-bindingmotif,0.46,0.3,1.0,11.0
   Ferredoxin-like,0.92,1.0,0.85,13.0
   Flavodoxin-like,0.95,1.0,0.91,11.0
 Globin-like,1.0,1.0,1.0,13.0
  Hydrolases,1.0,1.0,1.0,11.0
Immunoglobulin-like¦Â-sandwich,0.93,1.0,0.87,30.0
  Lipocalins,1.0,1.0,1.0,9.0
   NAD(P)-bindingRossmann-fold,0.96,1.0,0.92,13.0
     OB-fold,0.96,1.0,0.92,13.0
    P-loopcontainingnucleotide,0.89,1.0,0.8,10.0
Periplasmicbindingprotein-like,0.95,1.0,0.91,11.0
 RibonucleaseH-likemotif,1.0,1.0,1.0,10.0
    SH3-likebarrel,1.0,1.0,1.0,8.0
"Smallinhibitors,toxins,lectins",1.0,1.0,1.0,13.0
  Thioredoxin-like,0.8,1.0,0.67,9.0
     Trefoil,1.0,1.0,1.0,8.0
   Trypsin-likeserineproteases,0.8,1.0,0.67,9.0
    Viralcoatandcapsidproteins,0.97,1.0,0.94,16.0
   ¦ÁEF-hand,1.0,1.0,1.0,6.0
    ¦Â-Grasp,1.0,1.0,1.0,7.0
