class,f1_score,precision,recall,support
   Adeninenucleotideahydrolase-like(c.26),0.72,1.0,0.56,34.0
Commonfoldofdiphtheriatoxin/transcriptionfactors/cytochromef(b.2),0.81,1.0,0.68,28.0
     ConcanavalinA-likelectins/glucanases(b.29),0.73,1.0,0.58,26.0
   Cupredoxin-like(b.6),0.89,1.0,0.8,30.0
    Cystatin-like(d.17),0.84,1.0,0.72,25.0
 CytochromeC(a.3),0.86,1.0,0.76,25.0
 DNA/RNAbinding3-helicalbundle(a.4),0.89,1.0,0.8,103.0
 Double-strandeda-helix(b.82),0.76,1.0,0.62,34.0
  EFhand-likefold(a.39),0.78,1.0,0.64,25.0
FAD/NAD(P)-bindingdomain(c.3),0.52,1.0,0.35,31.0
  Ferredoxin-like(d.58),0.85,1.0,0.74,118.0
  Flavodoxin-like(c.23),0.75,1.0,0.6,55.0
   Fourhelicalupanddownbundle(a.24),0.89,1.0,0.81,26.0
 Galactose-bindingdomain-like(b.18),0.81,1.0,0.68,25.0
Immunoglobulin-likeb-sandwich,0.85,0.95,0.76,173.0
    Knottins(g.3),0.81,1.0,0.68,80.0
  NAD(P)-bindingRossmann-folddomains(c.2),0.74,0.98,0.6,77.0
    Nucleoplasmin-like(b.121),0.86,1.0,0.76,42.0
    OB-fold(b.40),0.83,1.0,0.71,78.0
RibonucleaseH-likemotif(c.55),0.76,1.0,0.61,49.0
  Rubredoxin-like(g.41),0.86,1.0,0.75,28.0
  S-adenosyl-L-methionine-dependentmethyltransferases(c.66),0.67,1.0,0.5,34.0
   SAMdomain-like(a.60),0.89,1.0,0.81,26.0
   SH3-likebarrel(b.34),0.89,1.0,0.81,42.0
     TIMa/b-barrel(c.1),0.41,0.26,1.0,145.0
  Thioredoxinfold(c.47),0.88,1.0,0.78,32.0
   a-asuperhelix(a.118),0.71,1.0,0.55,47.0
   a/b-Hydrolases(c.69),0.77,1.0,0.62,37.0
" b-Grasp,ubiquitin-like(d.15)",0.82,1.0,0.69,42.0
